mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
24.5,4,151,88,2740,16,1977,1,pontiac sunbird coupe
26,4,97,75,2265,18.2,1977,3,toyota corolla liftback
25.5,4,140,89,2755,15.8,1977,1,ford mustang ii 2+2
30.5,4,98,63,2051,17,1977,1,chevrolet chevette
33.5,4,98,83,2075,15.9,1977,1,dodge colt m/m
30,4,97,67,1985,16.4,1977,3,subaru dl
30.5,4,97,78,2190,14.1,1977,2,volkswagen dasher
22,6,146,97,2815,14.5,1977,3,datsun 810
21.5,4,121,110,2600,12.8,1977,2,bmw 320i
21.5,3,80,110,2720,13.5,1977,3,mazda rx-4
43.1,4,90,48,1985,21.5,1977,2,volkswagen rabbit custom diesel
36.1,4,98,66,1800,14.4,1978,1,ford fiesta
32.8,4,78,52,1985,19.4,1978,3,mazda glc deluxe
39.4,4,85,70,2070,18.6,1978,3,datsun b210 gx
36.1,4,91,60,1800,16.4,1978,3,honda civic cvcc
19.9,8,260,110,3365,15.5,1978,1,oldsmobile cutlass salon brougham
19.4,8,318,140,3735,13.2,1978,1,dodge diplomat
20.2,8,302,139,3570,12.8,1978,1,mercury monarch ghia
19.2,6,231,105,3535,19.2,1978,1,pontiac phoenix lj
20.5,6,200,95,3155,18.2,1978,1,chevrolet malibu
20.2,6,200,85,2965,15.8,1978,1,ford fairmont (auto)
25.1,4,140,88,2720,15.4,1978,1,ford fairmont (man)
20.5,6,225,100,3430,17.2,1978,1,plymouth volare
19.4,6,232,90,3210,17.2,1978,1,amc concord
20.6,6,231,105,3380,15.8,1978,1,buick century special
20.8,6,200,85,3070,16.7,1978,1,mercury zephyr
18.6,6,225,110,3620,18.7,1978,1,dodge aspen
18.1,6,258,120,3410,15.1,1978,1,amc concord d/l
19.2,8,305,145,3425,13.2,1978,1,chevrolet monte carlo landau
17.7,6,231,165,3445,13.4,1978,1,buick regal sport coupe (turbo)
18.1,8,302,139,3205,11.2,1978,1,ford futura
17.5,8,318,140,4080,13.7,1978,1,dodge magnum xe
30,4,98,68,2155,16.5,1978,1,chevrolet chevette
27.5,4,134,95,2560,14.2,1978,3,toyota corona
27.2,4,119,97,2300,14.7,1978,3,datsun 510
30.9,4,105,75,2230,14.5,1978,1,dodge omni
21.1,4,134,95,2515,14.8,1978,3,toyota celica gt liftback
23.2,4,156,105,2745,16.7,1978,1,plymouth sapporo
23.8,4,151,85,2855,17.6,1978,1,oldsmobile starfire sx
23.9,4,119,97,2405,14.9,1978,3,datsun 200-sx
20.3,5,131,103,2830,15.9,1978,2,audi 5000
17,6,163,125,3140,13.6,1978,2,volvo 264gl
21.6,4,121,115,2795,15.7,1978,2,saab 99gle
16.2,6,163,133,3410,15.8,1978,2,peugeot 604sl
31.5,4,89,71,1990,14.9,1978,2,volkswagen scirocco
29.5,4,98,68,2135,16.6,1978,3,honda accord lx
21.5,6,231,115,3245,15.4,1978,1,pontiac lemans v6
19.8,6,200,85,2990,18.2,1978,1,mercury zephyr 6
22.3,4,140,88,2890,17.3,1978,1,ford fairmont 4
20.2,6,232,90,3265,18.2,1979,1,amc concord dl 6
20.6,6,225,110,3360,16.6,1979,1,dodge aspen 6
17,8,305,130,3840,15.4,1979,1,chevrolet caprice classic
17.6,8,302,129,3725,13.4,1979,1,ford ltd landau
16.5,8,351,138,3955,13.2,1979,1,mercury grand marquis
18.2,8,318,135,3830,15.2,1979,1,dodge st. regis
16.9,8,350,155,4360,14.9,1979,1,buick estate wagon (sw)
15.5,8,351,142,4054,14.3,1979,1,ford country squire (sw)
19.2,8,267,125,3605,15,1979,1,chevrolet malibu classic (sw)
18.5,8,360,150,3940,13,1979,1,chrysler lebaron town @ country (sw)
31.9,4,89,71,1925,14,1979,2,vw rabbit custom
34.1,4,86,65,1975,15.2,1979,3,maxda glc deluxe
35.7,4,98,80,1915,14.4,1979,1,dodge colt hatchback custom
27.4,4,121,80,2670,15,1979,1,amc spirit dl
25.4,5,183,77,3530,20.1,1979,2,mercedes benz 300d
23,8,350,125,3900,17.4,1979,1,cadillac eldorado
27.2,4,141,71,3190,24.8,1979,2,peugeot 504
23.9,8,260,90,3420,22.2,1979,1,oldsmobile cutlass salon brougham
34.2,4,105,70,2200,13.2,1979,1,plymouth horizon
34.5,4,105,70,2150,14.9,1979,1,plymouth horizon tc3
31.8,4,85,65,2020,19.2,1979,3,datsun 210
37.3,4,91,69,2130,14.7,1979,2,fiat strada custom
28.4,4,151,90,2670,16,1979,1,buick skylark limited
28.8,6,173,115,2595,11.3,1979,1,chevrolet citation
26.8,6,173,115,2700,12.9,1979,1,oldsmobile omega brougham
33.5,4,151,90,2556,13.2,1979,1,pontiac phoenix
41.5,4,98,76,2144,14.7,1979,2,vw rabbit
38.1,4,89,60,1968,18.8,1980,3,toyota corolla tercel
32.1,4,98,70,2120,15.5,1980,1,chevrolet chevette
37.2,4,86,65,2019,16.4,1980,3,datsun 310
28,4,151,90,2678,16.5,1980,1,chevrolet citation
26.4,4,140,88,2870,18.1,1980,1,ford fairmont
24.3,4,151,90,3003,20.1,1980,1,amc concord
19.1,6,225,90,3381,18.7,1980,1,dodge aspen
34.3,4,97,78,2188,15.8,1980,2,audi 4000
29.8,4,134,90,2711,15.5,1980,3,toyota corona liftback
31.3,4,120,75,2542,17.5,1980,3,mazda 626
37,4,119,92,2434,15,1980,3,datsun 510 hatchback
32.2,4,108,75,2265,15.2,1980,3,toyota corolla
46.6,4,86,65,2110,17.9,1980,3,mazda glc
27.9,4,156,105,2800,14.4,1980,1,dodge colt
40.8,4,85,65,2110,19.2,1980,3,datsun 210
44.3,4,90,48,2085,21.7,1980,2,vw rabbit c (diesel)
43.4,4,90,48,2335,23.7,1980,2,vw dasher (diesel)
36.4,5,121,67,2950,19.9,1980,2,audi 5000s (diesel)
30,4,146,67,3250,21.8,1980,2,mercedes-benz 240d
44.6,4,91,67,1850,13.8,1980,3,honda civic 1500 gl
40.9,4,85,?,1835,17.3,1980,2,renault lecar deluxe
33.8,4,97,67,2145,18,1980,3,subaru dl
29.8,4,89,62,1845,15.3,1980,2,vokswagen rabbit
32.7,6,168,132,2910,11.4,1980,3,datsun 280-zx
23.7,3,70,100,2420,12.5,1980,3,mazda rx-7 gs
35,4,122,88,2500,15.1,1980,2,triumph tr7 coupe
23.6,4,140,?,2905,14.3,1980,1,ford mustang cobra
32.4,4,107,72,2290,17,1980,3,honda accord
27.2,4,135,84,2490,15.7,1980,1,plymouth reliant
26.6,4,151,84,2635,16.4,1980,1,buick skylark
25.8,4,156,92,2620,14.4,1981,1,dodge aries wagon (sw)
23.5,6,173,110,2725,12.6,1981,1,chevrolet citation
30,4,135,84,2385,12.9,1981,1,plymouth reliant
39.1,4,79,58,1755,16.9,1981,3,toyota starlet
39,4,86,64,1875,16.4,1981,1,plymouth champ
35.1,4,81,60,1760,16.1,1981,3,honda civic 1300
32.3,4,97,67,2065,17.8,1981,3,subaru
37,4,85,65,1975,19.4,1981,3,datsun 210 mpg
37.7,4,89,62,2050,17.3,1981,3,toyota tercel
34.1,4,91,68,1985,16,1981,3,mazda glc 4
34.7,4,105,63,2215,14.9,1981,1,plymouth horizon 4
34.4,4,98,65,2045,16.2,1981,1,ford escort 4w
29.9,4,98,65,2380,20.7,1981,1,ford escort 2h
33,4,105,74,2190,14.2,1981,2,volkswagen jetta
34.5,4,100,?,2320,15.8,1981,2,renault 18i
33.7,4,107,75,2210,14.4,1981,3,honda prelude
32.4,4,108,75,2350,16.8,1981,3,toyota corolla
32.9,4,119,100,2615,14.8,1981,3,datsun 200sx
31.6,4,120,74,2635,18.3,1981,3,mazda 626
28.1,4,141,80,3230,20.4,1981,2,peugeot 505s turbo diesel
30.7,6,145,76,3160,19.6,1981,2,volvo diesel
25.4,6,168,116,2900,12.6,1981,3,toyota cressida
24.2,6,146,120,2930,13.8,1981,3,datsun 810 maxima
22.4,6,231,110,3415,15.8,1981,1,buick century
26.6,8,350,105,3725,19,1981,1,oldsmobile cutlass ls
20.2,6,200,88,3060,17.1,1981,1,ford granada gl
17.6,6,225,85,3465,16.6,1981,1,chrysler lebaron salon
28,4,112,88,2605,19.6,1981,1,chevrolet cavalier
27,4,112,88,2640,18.6,1981,1,chevrolet cavalier wagon
34,4,112,88,2395,18,1981,1,chevrolet cavalier 2-door
31,4,112,85,2575,16.2,1981,1,pontiac j2000 se hatchback
29,4,135,84,2525,16,1981,1,dodge aries se
27,4,151,90,2735,18,1981,1,pontiac phoenix
24,4,140,92,2865,16.4,1981,1,ford fairmont futura
23,4,151,?,3035,20.5,1981,1,amc concord dl
36,4,105,74,1980,15.3,1982,2,volkswagen rabbit l
37,4,91,68,2025,18.2,1982,3,mazda glc custom l
31,4,91,68,1970,17.6,1982,3,mazda glc custom
38,4,105,63,2125,14.7,1982,1,plymouth horizon miser
36,4,98,70,2125,17.3,1982,1,mercury lynx l
36,4,120,88,2160,14.5,1982,3,nissan stanza xe
36,4,107,75,2205,14.5,1982,3,honda accord
34,4,108,70,2245,16.9,1982,3,toyota corolla
38,4,91,67,1965,15,1982,3,honda civic
32,4,91,67,1965,15.7,1982,3,honda civic (auto)
38,4,91,67,1995,16.2,1982,3,datsun 310 gx
25,6,181,110,2945,16.4,1982,1,buick century limited
38,6,262,85,3015,17,1982,1,oldsmobile cutlass ciera (diesel)
26,4,156,92,2585,14.5,1982,1,chrysler lebaron medallion
22,6,232,112,2835,14.7,1982,1,ford granada l
32,4,144,96,2665,13.9,1982,3,toyota celica gt
36,4,135,84,2370,13,1982,1,dodge charger 2.2
27,4,151,90,2950,17.3,1982,1,chevrolet camaro
27,4,140,86,2790,15.6,1982,1,ford mustang gl
44,4,97,52,2130,24.6,1982,2,vw pickup
32,4,135,84,2295,11.6,1982,1,dodge rampage
28,4,120,79,2625,18.6,1982,1,ford ranger
31,4,119,82,2720,19.4,1982,1,chevy s-10
18,8,307,130,3504,12.1,1982,1,chevrolet chevelle malibu
15,8,350,165,3693,11.6,1982,1,buick skylark 320
18,8,318,150,3436,11.1,1982,1,plymouth satellite
16,8,304,150,3433,12.1,1982,1,amc rebel sst
17,8,302,140,3449,10.6,1985,1,ford torino
15,8,429,198,4341,10.1,1985,1,ford galaxie 500
14,8,454,220,4354,9.1,1985,1,chevrolet impala
14,8,440,215,4312,8.6,1985,1,plymouth fury iii
14,8,455,225,4425,10.1,1985,1,pontiac catalina
15,8,390,190,3850,8.6,1985,1,amc ambassador dpl
15,8,383,170,3563,10.1,1985,1,dodge challenger se
14,8,340,160,3609,8.1,1985,1,plymouth 'cuda 340
15,8,400,150,3761,9.6,1985,1,chevrolet monte carlo
14,8,455,225,3086,10.1,1985,1,buick estate wagon (sw)
24,4,113,95,2372,15.1,1985,3,toyota corona mark ii
22,6,198,95,2833,15.6,1985,1,plymouth duster
18,6,199,97,2774,15.6,1985,1,amc hornet
21,6,200,85,2587,16.1,1985,1,ford maverick
27,4,97,88,2130,14.6,1985,3,datsun pl510
26,4,97,46,1835,20.6,1985,2,volkswagen 1131 deluxe sedan
25,4,110,87,2672,17.6,1985,2,peugeot 504
24,4,107,90,2430,14.6,1985,2,audi 100 ls
25,4,104,95,2375,17.6,1985,2,saab 99e
26,4,121,113,2234,12.6,1985,2,bmw 2002
21,6,199,90,2648,15.1,1985,1,amc gremlin
10,8,360,215,4615,14.1,1985,1,ford f250
10,8,307,200,4376,15.1,1985,1,chevy c20
11,8,318,210,4382,13.6,1985,1,dodge d200
9,8,304,193,4732,18.6,1985,1,hi 1200d
27,4,97,88,2130,14.6,1985,3,datsun pl510
28,4,140,90,2264,15.6,1985,1,chevrolet vega 2300
25,4,113,95,2228,14.1,1985,3,toyota corona
25,4,98,112,2046,19.1,1985,1,ford pinto
19,6,232,100,2634,13.1,1985,1,amc gremlin
16,6,225,105,3439,15.6,1985,1,plymouth satellite custom
17,6,250,100,3329,15.6,1985,1,chevrolet chevelle malibu
19,6,250,88,3302,15.6,1985,1,ford torino 500
18,6,232,100,3288,15.6,1985,1,amc matador
14,8,350,165,4209,12.1,1985,1,chevrolet impala
14,8,400,175,4464,11.6,1985,1,pontiac catalina brougham
14,8,351,153,4154,13.6,1985,1,ford galaxie 500
14,8,318,150,4096,13.1,1985,1,plymouth fury iii
12,8,383,180,4955,11.6,1985,1,dodge monaco (sw)
13,8,400,170,4746,12.1,1985,1,ford country squire (sw)
13,8,400,175,5140,12.1,1985,1,pontiac safari (sw)
18,6,258,110,2962,13.6,1985,1,amc hornet sportabout (sw)
22,4,140,72,2408,19.1,1985,1,chevrolet vega (sw)
19,6,250,100,3282,15.1,1985,1,pontiac firebird
18,6,250,88,3139,14.6,1985,1,ford mustang
23,4,122,86,2220,14.1,1985,1,mercury capri 2000
28,4,116,90,2123,14.1,1985,2,opel 1900
30,4,79,70,2074,19.6,1985,2,peugeot 304
30,4,88,76,2065,14.6,1985,2,fiat 124b
31,4,71,65,1773,19.1,1985,3,toyota corolla 1200
35,4,72,69,1613,18.1,1985,3,datsun 1200
27,4,97,60,1834,19.1,1985,2,volkswagen model 111
26,4,91,70,1955,20.6,1985,1,plymouth cricket
24,4,113,95,2278,15.6,1985,3,toyota corona hardtop
25,4,97.5,80,2126,17.1,1985,1,dodge colt hardtop
23,4,97,54,2254,23.6,1985,2,volkswagen type 3
20,4,140,90,2408,19.6,1985,1,chevrolet vega
21,4,122,86,2226,16.6,1985,1,ford pinto runabout
13,8,350,165,4274,12.1,1985,1,chevrolet impala
14,8,400,175,4385,12.1,1985,1,pontiac catalina
15,8,318,150,4135,13.6,1985,1,plymouth fury iii
14,8,351,153,4129,13.1,1985,1,ford galaxie 500
17,8,304,150,3672,11.6,1985,1,amc ambassador sst
11,8,429,208,4633,11.1,1988,1,mercury marquis
13,8,350,155,4502,13.6,1988,1,buick lesabre custom
12,8,350,160,4456,13.6,1988,1,oldsmobile delta 88 royale
13,8,400,190,4422,12.6,1988,1,chrysler newport royal
19,3,70,97,2330,13.6,1988,3,mazda rx2 coupe
15,8,304,150,3892,12.6,1988,1,amc matador (sw)
13,8,307,130,4098,14.1,1988,1,chevrolet chevelle concours (sw)
13,8,302,140,4294,16.1,1988,1,ford gran torino (sw)
14,8,318,150,4077,14.1,1988,1,plymouth satellite custom (sw)
18,4,121,112,2933,14.6,1988,2,volvo 145e (sw)
22,4,121,76,2511,18.1,1988,2,volkswagen 411 (sw)
21,4,120,87,2979,19.6,1988,2,peugeot 504 (sw)
26,4,96,69,2189,18.1,1988,2,renault 12 (sw)
22,4,122,86,2395,16.1,1988,1,ford pinto (sw)
28,4,97,92,2288,17.1,1988,3,datsun 510 (sw)
23,4,120,97,2506,14.6,1988,3,toyouta corona mark ii (sw)
28,4,98,80,2164,15.1,1988,1,dodge colt (sw)
27,4,97,88,2100,16.6,1988,3,toyota corolla 1600 (sw)
